Address,City,Price Sold,Bed,Bath,sqft,pricesqft,days on Redfin,catchment
4220 OSAGE Ave,PHILADELPHIA,505000,5,2,2064.00,245.00,498 days,1
1001 S 46TH St,PHILADELPHIA,620000,5,5,2565.00,242.00,505 days,1
4613 LARCHWOOD Ave,PHILADELPHIA,679000,6,3.5,2748.00,247.00,507 days,1
4141 WOODLAND Ave,PHILADELPHIA,240000,4,2,1575.00,152.00,508 days,1
4246 OSAGE Ave,PHILADELPHIA,555000,3,2.5,1869.00,297.00,516 days,1
4219 OSAGE Ave,PHILADELPHIA,685000,4,2.5,2880.00,238.00,516 days,1
14 UNIVERSITY Mews,PHILADELPHIA,406900,3,1.5,1472.00,276.00,522 days,1
4602 SPRINGFIELD Ave,PHILADELPHIA,450000,5,2.5,2600.00,173.00,526 days,1
222 S MELVILLE St,PHILADELPHIA,400000,5,2.5,2064.00,194.00,547 days,1
4416 PINE St,PHILADELPHIA,530000,6,3.5,2700.00,196.00,548 days,1
422 S 42ND St,PHILADELPHIA,500000,7,2.5,3150.00,159.00,550 days,1
4619 LARCHWOOD Ave,PHILADELPHIA,620000,4,3.5,2820.00,220.00,558 days,1
4422 PINE St,PHILADELPHIA,650000,3,6,2700.00,241.00,568 days,1
923 S 46TH St,PHILADELPHIA,401000,2,2,1692.00,237.00,568 days,1
4300 SPRUCE St Unit B303,PHILADELPHIA,371000,2,2,1172.00,317.00,597 days,1
230 S 45TH St,PHILADELPHIA,830000,12,6.5,5138.00,162.00,610 days,1
4623 CEDAR Ave,PHILADELPHIA,539900,6,3,3200.00,169.00,660 days,1
4035 BALTIMORE Ave Unit R,PHILADELPHIA,360000,3,2,1318.00,273.00,675 days,1
1003-05 S 46TH St Unit 5,PHILADELPHIA,230000,2,1,1250.00,184.00,677 days,1
317 S 43RD St,PHILADELPHIA,676000,6,3.5,3555.00,190.00,697 days,1
4530 LOCUST St,PHILADELPHIA,607000,5,4.5,2432.00,250.00,704 days,1
4524 LOCUST St,PHILADELPHIA,483800,5,2,3026.00,160.00,708 days,1
4421 LARCHWOOD Ave,PHILADELPHIA,610000,5,2.5,3000.00,203.00,715 days,1
4331 PINE St,PHILADELPHIA,635000,6,4.5,2250.00,282.00,731 days,1
4232 PINE St,PHILADELPHIA,540000,6,2.5,3510.00,154.00,739 days,1
506 S MELVILLE St,PHILADELPHIA,399000,3,1.5,1572.00,254.00,743 days,1
4339 LARCHWOOD Ave,PHILADELPHIA,612000,5,2.5,2400.00,255.00,751 days,1
503 S MELVILLE St,PHILADELPHIA,366000,3,1,1572.00,233.00,759 days,1
4426 SANSOM St,PHILADELPHIA,400000,6,3,2499.00,160.00,771 days,1
426 S 44TH St #1,PHILADELPHIA,379000,3,2.5,3118.00,122.00,772 days,1
4200 PINE St #502,PHILADELPHIA,350000,2,2,808.00,433.00,775 days,1
531 S MELVILLE St,PHILADELPHIA,415500,3,1.5,1572.00,264.00,778 days,1
524 S MELVILLE St,PHILADELPHIA,384000,3,1,1572.00,244.00,778 days,1
231 S MELVILLE St,PHILADELPHIA,340000,5,2.5,2304.00,148.00,778 days,1
4333 BALTIMORE Ave,PHILADELPHIA,870000,5,5,3455.00,252.00,789 days,1
437 S 46TH St,PHILADELPHIA,563000,4,2.5,2721.00,207.00,789 days,1
4311 BALTIMORE Ave,PHILADELPHIA,475000,6,3,2475.00,192.00,794 days,1
620 S 42ND St,PHILADELPHIA,680000,6,6,3600.00,189.00,799 days,1
4227 OSAGE Ave,PHILADELPHIA,448600,5,2,2880.00,156.00,807 days,1
4412 LARCHWOOD Ave,PHILADELPHIA,526000,5,2.5,2025.00,260.00,808 days,1
4622 PINE St,PHILADELPHIA,840000,6,3.5,4125.00,204.00,813 days,1
231 S 42ND St,PHILADELPHIA,1325000,7,7,5980.00,222.00,829 days,1
4238 REGENT Sq,PHILADELPHIA,426200,4,2,1710.00,249.00,831 days,1
4618 HAZEL Ave,PHILADELPHIA,565000,6,4,3360.00,168.00,835 days,1
508 S 46TH St,PHILADELPHIA,620000,5,2,2856.00,217.00,836 days,1
224 SAINT MARKS Sq,PHILADELPHIA,698500,6,2.5,2916.00,240.00,855 days,1
4420 LARCHWOOD Ave,PHILADELPHIA,525000,5,2.5,2115.00,248.00,858 days,1
4300 SPRUCE St Unit B103,PHILADELPHIA,355000,2,2,1099.00,323.00,863 days,1
4200 PINE St #202,PHILADELPHIA,405000,2,2,1083.00,374.00,869 days,1
256 S 45TH St,PHILADELPHIA,465000,6,3,2400.00,194.00,869 days,1
4250 OSAGE Ave,PHILADELPHIA,350000,2,1.5,1038.00,337.00,869 days,1
4200 PINE St #203,PHILADELPHIA,323000,1,1,749.00,431.00,869 days,1
4330 LARCHWOOD Ave,PHILADELPHIA,518500,5,2,1975.00,263.00,870 days,1
4402 SANSOM St,PHILADELPHIA,513000,4,2.5,3300.00,155.00,871 days,1
520 S MELVILLE St,PHILADELPHIA,435000,4,2,1572.00,277.00,872 days,1
331 S 46TH St,PHILADELPHIA,820000,6,4,5195.00,158.00,887 days,1
426 S 44TH St #2,PHILADELPHIA,245000,1,1,933.00,263.00,890 days,1
506 S 45TH St,PHILADELPHIA,520000,4,4,2101.00,248.00,894 days,1
4218 CHESTER Ave,PHILADELPHIA,562500,4,6,3600.00,156.00,899 days,1
4532 PINE St,PHILADELPHIA,675000,4,2.5,2640.00,256.00,910 days,1
410 S 45TH St,PHILADELPHIA,470000,5,5,2790.00,168.00,913 days,1
227 S 46TH St,PHILADELPHIA,540000,8,3.5,2625.00,206.00,913 days,1
209 SAINT MARKS Sq,PHILADELPHIA,518000,4,2.5,2712.00,191.00,914 days,1
223 S 46TH St,PHILADELPHIA,641000,5,4.5,3608.00,178.00,927 days,1
35 UNIVERSITY Mews,PHILADELPHIA,330000,2,1,1472.00,224.00,932 days,1
4300 SPRUCE St Unit A302,PHILADELPHIA,327500,2,2,974.00,336.00,933 days,1
4524 SPRUCE St,PHILADELPHIA,775000,5,3.5,3640.00,213.00,943 days,1
414 S 43RD St,PHILADELPHIA,500000,4,2.5,1952.00,256.00,946 days,1
515 S 42ND St,PHILADELPHIA,525000,6,5,3600.00,146.00,956 days,1
509 S 41ST St,PHILADELPHIA,425000,5,5,2700.00,157.00,960 days,1
4609 LARCHWOOD Ave,PHILADELPHIA,520000,6,3,2748.00,189.00,961 days,1
535 S MELVILLE St,PHILADELPHIA,395000,3,1.5,1720.00,230.00,962 days,1
4611 SPRINGFIELD Ave,PHILADELPHIA,600000,6,3.5,4036.00,149.00,974 days,1
4236 PINE St,PHILADELPHIA,500000,5,2,2160.00,231.00,1003 days,1
519 S 42ND St,PHILADELPHIA,565000,7,5,4362.00,130.00,1003 days,1
